Exp_name,Window_size,Sign_thres,Detection_end,Det_acc,Ref_dist,Det_dist,KS_result,Drift_signaled,Real_drift,Total_Training_time
2_Response_uncertainty,500,0.001,1000,0.966,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1001,0.966,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1002,0.966,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1003,0.966,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1004,0.966,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1005,0.966,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1006,0.966,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1007,0.966,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1008,0.966,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1009,0.968,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1010,0.968,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1011,0.968,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1012,0.968,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1013,0.968,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1014,0.968,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1015,0.968,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1016,0.968,,,0.03912975502324012,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1017,0.968,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1018,0.968,,,0.03269013251541786,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1019,0.968,,,0.027200130055278993,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1020,0.968,,,0.027200130055278993,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1021,0.968,,,0.027200130055278993,False,False,0.012970209121704102
2_Response_uncertainty,500,0.001,1022,0.968,,,0.027200130055278993,False,False,0.012970209121704102
