Exp_name,Window_size,Sign_thres,Detection_end,Det_acc,Ref_dist,Det_dist,KS_result,Drift_signaled,Real_drift,Total_Training_time
2_Response_uncertainty,500,0.01,1000,0.942,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1001,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1002,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1003,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1004,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1005,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1006,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1007,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1008,0.944,,,0.012520344729934534,False,False,0.00994729995727539
2_Response_uncertainty,500,0.01,1009,0.944,,,0.010208977024219837,False,False,0.00994729995727539
