Exp_name,Window_size,Sign_thres,Detection_end,Det_acc,Ref_dist,Det_dist,KS_result,Drift_signaled,Real_drift,Total_Training_time
2_Response_uncertainty,500,0.01,1000,0.914,"[1.0, 0.014285714285714285, 0.025, 0.0, 1.0, 0.0, 0.0, 1.0, 0.7689655172413794, 0.9689655172413794, 1.0, 0.5572194854953475, 1.0, 0.74, 0.0, 0.0, 0.8856321839080461, 0.0, 0.9689655172413794, 0.23007662835249043, 0.061111111111111116, 0.8602176113360326, 0.0, 0.5492324561403509, 0.0, 0.0, 0.9666666666666668, 0.8889676113360323, 1.0, 0.9689655172413794, 0.8602176113360326, 0.9689655172413794, 1.0, 0.0, 1.0, 0.0, 0.5497368421052632, 0.0, 0.0, 0.0, 0.4072194854953476, 0.014285714285714285, 1.0, 0.03333333333333333, 0.0, 0.9356321839080461, 1.0, 0.4382539682539683, 1.0, 0.0, 1.0, 0.0, 0.4144444444444445, 1.0, 0.0, 1.0, 0.0, 0.40559440559440557, 0.3142857142857143, 0.0, 0.8602176113360326, 0.0, 0.48896761133603234, 0.6176535087719299, 0.2, 0.0, 0.8889676113360323, 1.0, 0.33166666666666667, 0.0, 1.0, 0.0, 0.0, 1.0, 0.014285714285714285, 1.0, 0.06303030303030303, 0.0, 0.9689655172413794, 1.0, 0.7689655172413794, 0.0, 0.375, 0.9689655172413794, 1.0, 0.8400000000000001, 1.0, 0.8602176113360326, 0.0, 0.175, 0.42640350877192984, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8, 0.03333333333333333, 1.0, 0.0, 1.0, 0.18, 1.0, 0.0, 0.6544134897360704, 0.5297777777777777, 0.0, 0.0, 0.5428571428571429, 0.0, 0.0, 0.0, 0.3539589442815249, 0.15395894428152493, 0.6444444444444445, 0.4066862170087977, 0.6997666580243712, 0.0, 0.0, 1.0, 0.0, 1.0, 0.08571428571428572, 0.18, 1.0, 0.23076923076923075, 0.08571428571428572, 1.0, 0.6466666666666667, 0.027586206896551724, 0.4587301587301587, 1.0, 0.4587301587301587, 0.0, 0.7587301587301587, 0.016666666666666666, 0.989090909090909, 1.0, 0.0, 0.0, 0.5717666580243712, 0.12977777777777777, 0.21759530791788856, 0.31666666666666665, 0.0, 0.027586206896551724, 0.38909090909090904, 1.0, 0.016666666666666666, 0.9640909090909091, 1.0, 0.0, 0.8544134897360702, 0.6587301587301587, 1.0, 1.0, 0.0, 0.5717666580243712, 0.0, 0.6466666666666667, 0.6044134897360703, 0.15395894428152493, 0.013333333333333332, 0.989090909090909, 1.0, 0.785480943738657, 0.3539589442815249, 0.6, 0.4066862170087977, 0.7428571428571429, 0.12977777777777777, 1.0, 0.34418045112781953, 0.989090909090909, 0.989090909090909, 0.0, 1.0, 1.0, 0.013333333333333332, 1.0, 0.0, 1.0, 0.7241804511278195, 0.8666666666666668, 0.0, 0.18, 1.0, 1.0, 1.0, 0.0, 1.0, 0.15395894428152493, 0.0, 1.0, 1.0, 1.0, 0.989090909090909, 0.34418045112781953, 0.989090909090909, 0.3663173943173943, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8736336336336337, 0.42015444015444015, 0.0, 1.0, 0.788963963963964, 1.0, 0.08444444444444445, 0.788963963963964, 0.39585585585585586, 1.0, 0.09166666666666666, 0.5309803921568628, 0.08444444444444445, 0.29166666666666663, 0.8736336336336337, 0.3663173943173943, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.9891891891891891, 1.0, 0.19585585585585585, 0.0, 0.3663173943173943, 0.0, 0.5118211068211068, 0.8736336336336337, 1.0, 0.03866666666666667, 0.0, 0.8844444444444445, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.6282776894541601, 1.0, 0.6282776894541601, 0.0, 1.0, 1.0, 1.0, 0.19585585585585585, 0.19585585585585585, 0.5843137254901961, 0.0, 1.0, 0.19585585585585585, 0.7844444444444445, 1.0, 0.03866666666666667, 0.09166666666666666, 0.032, 0.6282776894541601, 0.8916666666666666, 1.0, 0.0, 0.0, 0.19585585585585585, 0.0, 0.6282776894541601, 1.0, 0.0, 0.08444444444444445, 0.4816110227874934, 0.5, 0.18, 0.09166666666666666, 1.0, 0.0, 0.08444444444444445, 1.0, 1.0, 0.032, 0.4596507276507277, 1.0, 1.0, 0.8844444444444445, 0.08444444444444445, 1.0, 0.0, 1.0, 0.0, 0.4155462184873949, 0.0, 1.0, 1.0, 0.2977777777777778, 0.08444444444444445, 0.6146031746031746, 0.8674242424242424, 1.0, 0.025098039215686273, 0.2, 0.0, 1.0, 0.4155462184873949, 1.0, 1.0, 1.0, 0.12142857142857141, 0.0, 0.0, 0.8674242424242424, 0.0, 0.9, 1.0, 0.2, 1.0, 0.7, 0.0, 0.7765079365079365, 0.0, 0.0, 0.0, 0.2, 0.41460317460317453, 1.0, 0.0, 0.21333333333333332, 0.38610898905016555, 1.0, 0.0, 0.9027777777777779, 0.0, 0.902175697865353, 0.0, 0.4361538461538461, 1.0, 0.25433566433566435, 1.0, 0.9216201423097974, 0.0, 1.0, 0.0, 1.0, 0.0, 0.9, 0.0, 0.0, 1.0, 0.6697691197691198, 1.0, 0.0, 0.9724137931034482, 0.12142857142857141, 0.85515873015873, 1.0, 0.38610898905016555, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.025098039215686273, 0.12142857142857141, 0.0, 1.0, 0.12142857142857141, 0.0, 0.0, 0.0, 1.0, 1.0, 0.12142857142857141, 1.0, 1.0, 0.0, 1.0, 0.10954248366013072, 1.0, 1.0, 1.0, 0.18059829059829063, 0.12142857142857141, 0.08444444444444445, 0.6, 1.0, 0.4361538461538461, 0.85515873015873, 0.17620915032679738, 0.1391304347826087, 0.12620199146514938, 0.0, 0.7814727771249511, 0.1704761904761905, 0.9666666666666668, 0.0, 1.0, 0.06666666666666667, 1.0, 1.0, 0.41609831029185873, 0.816268542636004, 1.0, 0.7148061104582843, 0.3704761904761905, 1.0, 1.0, 1.0, 0.0, 0.733452807646356, 0.5704761904761905, 1.0, 0.0, 1.0, 0.816268542636004, 0.9391304347826086, 0.0, 0.9925925925925926, 0.08620199146514937, 0.26666666666666666, 1.0, 0.0, 0.816268542636004, 0.8334528076463561, 0.06666666666666667, 0.3704761904761905, 0.9333333333333332, 1.0, 0.3375268817204301, 0.5420749942489074, 0.5592592592592592, 0.1704761904761905, 0.8334528076463561, 0.0, 0.08620199146514937, 0.13043478260869565, 1.0, 0.06666666666666667, 0.0, 0.02857142857142857, 0.9391304347826086, 0.02857142857142857, 1.0, 0.2, 1.0, 0.8334528076463561, 0.0, 0.9333333333333332, 0.26476190476190475, 1.0, 0.7241935483870968, 0.21142857142857144, 0.0, 1.0, 0.06666666666666667, 1.0, 0.24, 0.022857142857142857, 0.3704761904761905, 0.08620199146514937, 1.0, 0.0, 0.0, 0.752500426693975, 0.8833333333333332, 0.0, 0.022857142857142857, 1.0, 1.0, 0.0, 0.0, 0.7667861409796893, 0.7891304347826087, 1.0, 0.0, 0.08620199146514937, 0.13043478260869565, 1.0, 0.8833333333333332, 0.06666666666666667, 0.872463768115942, 0.04, 0.5704761904761905, 1.0, 0.0, 1.0, 0.0, 1.0, 0.08620199146514937]","[1.0, 0.0, 0.8334528076463561, 0.04, 1.0, 0.06666666666666667, 1.0, 0.06666666666666667, 1.0, 0.12620199146514938, 0.8833333333333332, 0.08620199146514937, 1.0, 0.0, 0.816268542636004, 0.24, 0.7814727771249511, 0.13043478260869565, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.12620199146514938, 0.5592592592592592, 1.0, 0.716268542636004, 0.9666666666666668, 0.0, 1.0, 0.3814727771249511, 0.7241935483870968, 0.0, 1.0, 0.08620199146514937, 1.0, 0.0, 0.8833333333333332, 0.0, 1.0, 0.12620199146514938, 0.816268542636004, 0.24190476190476193, 1.0, 0.06476190476190476, 1.0, 0.08620199146514937, 1.0, 0.0419047619047619, 1.0, 0.04, 1.0, 0.08620199146514937, 1.0, 0.12620199146514938, 1.0, 0.06666666666666667, 1.0, 0.41142857142857137, 1.0, 0.0, 0.8, 0.0, 0.8334528076463561, 0.06666666666666667, 1.0, 0.26666666666666666, 1.0, 0.0, 0.7814727771249511, 0.06666666666666667, 1.0, 0.6420749942489072, 1.0, 0.0, 1.0, 0.8391304347826086, 1.0, 0.0419047619047619, 0.816268542636004, 0.04, 1.0, 0.08620199146514937, 1.0, 0.02857142857142857, 0.64, 0.08620199146514937, 1.0, 0.0, 1.0, 0.7148061104582843, 1.0, 0.41142857142857137, 1.0, 0.0, 1.0, 0.06666666666666667, 1.0, 0.13043478260869565, 1.0, 0.7148061104582843, 0.9333333333333332, 0.13043478260869565, 1.0, 0.022857142857142857, 0.8334528076463561, 0.0, 1.0, 0.04, 1.0, 0.3304761904761905, 1.0, 0.04, 1.0, 0.12620199146514938, 1.0, 0.0, 1.0, 0.12620199146514938, 1.0, 0.0, 1.0, 0.14190476190476192, 1.0, 0.1391304347826087, 0.9925925925925926, 0.7148061104582843, 1.0, 0.04, 1.0, 0.14190476190476192, 0.6160983102918587, 0.7891304347826087, 1.0, 0.06666666666666667, 0.6160983102918587, 0.0, 1.0, 0.47830687830687835, 0.672463768115942, 0.14190476190476192, 1.0, 0.0, 0.7241935483870968, 0.02857142857142857, 1.0, 0.0, 1.0, 0.7148061104582843, 1.0, 0.0419047619047619, 1.0, 0.1875268817204301, 0.8, 0.06666666666666667, 1.0, 0.04, 0.652500426693975, 0.08620199146514937, 0.8833333333333332, 0.06666666666666667, 1.0, 0.14190476190476192, 1.0, 0.05142857142857142, 1.0, 0.3801194743130227, 0.752500426693975, 0.12620199146514938, 1.0, 0.06666666666666667, 0.8833333333333332, 0.0, 1.0, 0.21142857142857144, 0.8334528076463561, 0.17857142857142855, 0.7891304347826087, 0.0, 1.0, 0.05142857142857142, 1.0, 0.0, 1.0, 0.08620199146514937, 1.0, 0.0, 1.0, 0.0, 0.12620199146514938, 0.0, 1.0, 0.1875268817204301, 1.0, 0.0, 0.752500426693975, 0.14190476190476192, 1.0, 0.0, 0.752500426693975, 0.02857142857142857, 0.9333333333333332, 0.47830687830687835, 1.0, 0.0, 0.5783068783068783, 0.1704761904761905, 1.0, 0.08620199146514937, 0.7236759500434115, 0.0, 0.5704761904761905, 0.08620199146514937, 1.0, 0.21142857142857144, 1.0, 0.06666666666666667, 1.0, 0.7148061104582843, 1.0, 0.04, 0.08620199146514937, 0.06666666666666667, 0.4179616643291258, 0.0, 1.0, 0.08620199146514937, 0.5741935483870968, 0.9116402116402117, 1.0, 0.0, 0.9925925925925926, 0.08620199146514937, 1.0, 0.08620199146514937, 1.0, 0.0, 1.0, 0.0, 1.0, 0.41609831029185873, 1.0, 0.05142857142857142, 0.6592592592592592, 0.0, 1.0, 0.06666666666666667, 0.9333333333333332, 0.06476190476190476, 1.0, 0.08620199146514937, 0.5704761904761905, 0.022857142857142857, 0.8334528076463561, 0.0, 1.0, 0.0, 1.0, 0.13043478260869565, 0.9333333333333332, 0.1704761904761905, 0.8334528076463561, 0.06666666666666667, 1.0, 0.7148061104582843, 0.9925925925925926, 0.04, 1.0, 0.26666666666666666, 0.5741935483870968, 0.05142857142857142, 0.8833333333333332, 0.02857142857142857, 1.0, 0.06666666666666667, 1.0, 0.0, 1.0, 0.12620199146514938, 1.0, 0.05142857142857142, 1.0, 0.672463768115942, 1.0, 0.022857142857142857, 1.0, 0.05142857142857142, 0.752500426693975, 0.0, 1.0, 0.5783068783068783, 0.8833333333333332, 0.0, 0.8334528076463561, 0.0, 1.0, 0.7148061104582843, 1.0, 0.0419047619047619, 1.0, 0.0, 0.9391304347826086, 0.0, 1.0, 0.7891304347826087, 0.12620199146514938, 0.0, 0.9116402116402117, 0.06666666666666667, 1.0, 0.1704761904761905, 0.8334528076463561, 0.0, 1.0, 0.13043478260869565, 1.0, 0.5420749942489074, 1.0, 0.06666666666666667, 1.0, 0.5783068783068783, 0.652500426693975, 0.06666666666666667, 0.5741935483870968, 0.7148061104582843, 1.0, 0.5391304347826087, 0.64, 0.822463768115942, 1.0, 0.0, 1.0, 0.08620199146514937, 1.0, 0.0, 0.5592592592592592, 0.12620199146514938, 0.7241935483870968, 0.0, 1.0, 0.0, 1.0, 0.1704761904761905, 0.6160983102918587, 0.3375268817204301, 0.733452807646356, 0.3801194743130227, 1.0, 0.06666666666666667, 1.0, 0.0, 0.9333333333333332, 0.14190476190476192, 0.816268542636004, 0.8391304347826086, 0.9333333333333332, 0.0, 0.7148061104582843, 0.0, 1.0, 0.0, 1.0, 0.7148061104582843, 1.0, 0.34948240165631467, 0.9666666666666668, 0.24, 0.752500426693975, 0.7148061104582843, 1.0, 0.1704761904761905, 0.8334528076463561, 0.0, 0.752500426693975, 0.5391304347826087, 1.0, 0.08620199146514937, 1.0, 0.1704761904761905, 1.0, 0.0, 0.8400000000000001, 0.21142857142857144, 1.0, 0.5783068783068783, 0.5592592592592592, 0.7148061104582843, 0.12620199146514938, 0.05142857142857142, 1.0, 0.0, 1.0, 0.7148061104582843, 1.0, 0.0, 1.0, 0.04, 0.733452807646356, 0.08620199146514937, 1.0, 0.06666666666666667, 0.9333333333333332, 0.08620199146514937, 0.12620199146514938, 0.0, 1.0, 0.06666666666666667, 1.0, 0.08620199146514937, 1.0, 0.0, 0.7814727771249511, 0.0, 1.0, 0.08620199146514937, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.7814727771249511, 0.06666666666666667, 0.08620199146514937, 0.0, 0.9391304347826086, 0.6420749942489072, 1.0, 0.5391304347826087, 1.0, 0.13043478260869565, 0.7814727771249511, 0.0, 0.9666666666666668, 0.0, 0.733452807646356, 0.06476190476190476, 1.0, 0.08620199146514937, 1.0, 0.0, 1.0, 0.02857142857142857, 0.48752688172043007, 0.1704761904761905, 0.12620199146514938, 0.41142857142857137, 1.0, 0.41142857142857137, 0.9666666666666668, 0.13043478260869565, 1.0, 0.13043478260869565, 0.8334528076463561, 0.2, 1.0, 0.8391304347826086, 1.0, 0.06666666666666667, 0.12620199146514938, 0.0, 1.0, 0.2, 1.0, 0.06666666666666667, 1.0, 0.14190476190476192, 1.0, 0.08620199146514937, 1.0, 0.12620199146514938, 0.6592592592592592, 0.08620199146514937, 0.7148061104582843, 0.6, 1.0, 0.05142857142857142, 1.0, 0.06666666666666667, 0.8334528076463561, 0.0, 1.0, 0.04, 0.8334528076463561, 0.14190476190476192, 1.0, 0.0419047619047619, 1.0, 0.06666666666666667, 0.733452807646356, 0.0, 0.7814727771249511, 0.0419047619047619, 1.0, 0.04, 0.9391304347826086, 0.0]",0.000293531424011011,True,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1001,0.914,,,0.000293531424011011,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1002,0.914,,,0.000224247303029469,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1003,0.914,,,0.000224247303029469,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1004,0.914,,,0.000293531424011011,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1005,0.914,,,0.000293531424011011,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1006,0.914,,,0.00038265274098243164,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1007,0.914,,,0.00038265274098243164,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1008,0.914,,,0.00038265274098243164,False,False,0.014960050582885742
2_Response_uncertainty,500,0.01,1009,0.914,,,0.00038265274098243164,False,False,0.014960050582885742
