Exp_name,Window_size,Detection_end,Det_acc,Drift_signaled,Real_drift,Total_Training_time
1_Baseline,500,1000,1.0,False,False,0.028034448623657227
1_Baseline,500,1001,1.0,False,False,0.028034448623657227
1_Baseline,500,1002,1.0,False,False,0.028034448623657227
1_Baseline,500,1003,1.0,False,False,0.028034448623657227
1_Baseline,500,1004,1.0,False,False,0.028034448623657227
1_Baseline,500,1005,1.0,False,False,0.028034448623657227
1_Baseline,500,1006,1.0,False,False,0.028034448623657227
1_Baseline,500,1007,1.0,False,False,0.028034448623657227
1_Baseline,500,1008,1.0,False,False,0.028034448623657227
1_Baseline,500,1009,1.0,False,False,0.028034448623657227
1_Baseline,500,1010,1.0,False,False,0.028034448623657227
1_Baseline,500,1011,1.0,False,False,0.028034448623657227
1_Baseline,500,1012,1.0,False,False,0.028034448623657227
1_Baseline,500,1013,1.0,False,False,0.028034448623657227
1_Baseline,500,1014,1.0,False,False,0.028034448623657227
1_Baseline,500,1015,1.0,False,False,0.028034448623657227
1_Baseline,500,1016,1.0,False,False,0.028034448623657227
1_Baseline,500,1017,1.0,False,False,0.028034448623657227
1_Baseline,500,1018,1.0,False,False,0.028034448623657227
1_Baseline,500,1019,1.0,False,False,0.028034448623657227
1_Baseline,500,1020,1.0,False,False,0.028034448623657227
1_Baseline,500,1021,1.0,False,False,0.028034448623657227
1_Baseline,500,1022,1.0,False,False,0.028034448623657227
1_Baseline,500,1023,1.0,False,False,0.028034448623657227
1_Baseline,500,1024,1.0,False,False,0.028034448623657227
1_Baseline,500,1025,1.0,False,False,0.028034448623657227
1_Baseline,500,1026,1.0,False,False,0.028034448623657227
1_Baseline,500,1027,1.0,False,False,0.028034448623657227
1_Baseline,500,1028,1.0,False,False,0.028034448623657227
1_Baseline,500,1029,1.0,False,False,0.028034448623657227
1_Baseline,500,1030,1.0,False,False,0.028034448623657227
1_Baseline,500,1031,1.0,False,False,0.028034448623657227
1_Baseline,500,1032,1.0,False,False,0.028034448623657227
1_Baseline,500,1033,1.0,False,False,0.028034448623657227
1_Baseline,500,1034,1.0,False,False,0.028034448623657227
1_Baseline,500,1035,1.0,False,False,0.028034448623657227
1_Baseline,500,1036,1.0,False,False,0.028034448623657227
1_Baseline,500,1037,1.0,False,False,0.028034448623657227
1_Baseline,500,1038,1.0,False,False,0.028034448623657227
1_Baseline,500,1039,1.0,False,False,0.028034448623657227
1_Baseline,500,1040,1.0,False,False,0.028034448623657227
1_Baseline,500,1041,1.0,False,False,0.028034448623657227
1_Baseline,500,1042,1.0,False,False,0.028034448623657227
1_Baseline,500,1043,1.0,False,False,0.028034448623657227
